,Job_ID,Job_Title,Location,Company,Date,Salary,Description,url
168,34cc5ca2c2957c14,"software engineer, frostbite animation and cinematics","Seattle, WA",Electronic Arts,30+ days ago,None,And you will help grow the team and mentor junior engineers. BSc degree in Computer Science or related academic program.,https://www.indeed.com/rc/clk?jk=34cc5ca2c2957c14&fccid=617d7f961cfcf54a&vjs=3
169,5eed6719731aae36,"staff software engineer, asset tracking, unified fulfillment...","Seattle, WA (Fremont area)",Google,1 day ago,None,"We're looking for engineers who bring fresh ideas from all areas, including information retrieval, distributed computing, large-scale system design, networking…",https://www.indeed.com/rc/clk?jk=5eed6719731aae36&fccid=a5b4499d9e91a5c6&vjs=3
170,e5c7b06d7cf19878,sr software engineer - frontend,"Seattle, WA 98121 (Belltown area)",Pipe17,30+ days ago,None,5+ years professional experience in software development and building successful production software systems. Software Development: 5 years (Required).,https://www.indeed.com/company/Pipe17/jobs/Senior-Software-Engineer-e5c7b06d7cf19878?fccid=a988d3545589741a&vjs=3
171,3cc02f39d59623f3,"senior engineer, software (profile development)","Seattle, WA",SoFi,10 days ago,None,We are looking for talented software engineers to help us expand our financial product offering based on a Profile-core banking solution as we ramp up our…,https://www.indeed.com/rc/clk?jk=3cc02f39d59623f3&fccid=7c3a1f1f98dde031&vjs=3
172,cc2c31ea77992afd,full stack software engineer - product web,"Seattle, WA",Wish,24 days ago,None,"Proficient in at least one modern object-oriented programming language such as Python, Java or Go. We release new code daily to ensure that engineers are able…",https://www.indeed.com/rc/clk?jk=cc2c31ea77992afd&fccid=617690ce838507f3&vjs=3
173,d1c4dbb75f091ba3,ui software engineer,"Seattle, WA 98101 (Downtown area)",Qumulo,30+ days ago,None,"At Qumulo, we have built a modern, highly scalable distributed file system that run in both data centers and the public cloud.",https://www.indeed.com/rc/clk?jk=d1c4dbb75f091ba3&fccid=63f6e02a77f8263a&vjs=3
174,53110074e4387d52,sdet (full stack),"Bellevue, WA 98004 (Downtown area)",DreamBox Learning,8 days ago,None,Strong technical skills with experience in an object-oriented programming language (preferably Java). You will review and contribute to the overall test…,https://www.indeed.com/rc/clk?jk=53110074e4387d52&fccid=19d1d975135e4fb0&vjs=3
175,5d2bd1a9852161c1,php/wordpress developer,"Seattle, WA",Little Rhino,6 days ago,None,"Solid knowledge of PHP, HTML/CSS, JavaScript, and jQuery. Good organization skills for tracking several projects at the same time.",https://www.indeed.com/company/Little-Rhino/jobs/PHP-Wordpress-Developer-5d2bd1a9852161c1?fccid=61e26b4c52cb33be&vjs=3
176,3b584bcc117299fc,software engineer,"Seattle, WA (Fremont area)",Google,30+ days ago,None,"We're looking for engineers who bring fresh ideas from all areas, including information retrieval, distributed computing, large-scale system design, networking…",https://www.indeed.com/rc/clk?jk=3b584bcc117299fc&fccid=a5b4499d9e91a5c6&vjs=3
177,d73788c13a40e184,senior backend software engineer,"Seattle, WA 98104 (Downtown area)",Textio,Today,None,"In this role you will collaborate closely with our frontend engineers, data engineers, and the product team to define and create the APIs and distributed…",https://www.indeed.com/rc/clk?jk=d73788c13a40e184&fccid=e0368d24cb0bc926&vjs=3
